Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_117,VSS,Metal1,63.6060,82.6990,0.000315
FILLER_17_110,VSS,Metal1,60.2460,82.6990,0.000315
FILLER_17_103,VSS,Metal1,56.8860,82.6990,0.000315
FILLER_17_97,VSS,Metal1,52.8000,83.1600,0.000310
FILLER_17_93,VSS,Metal1,51.3480,82.7830,0.000310
FILLER_17_86,VSS,Metal1,48.7260,82.6990,0.000299
FILLER_17_68,VSS,Metal1,38.8800,83.1600,0.000194
FILLER_17_49,VSS,Metal1,29.7600,83.1600,0.000047
FILLER_17_45,VSS,Metal1,28.3080,82.7830,0.000047
FILLER_17_38,VSS,Metal1,25.6860,82.6990,0.000047
FILLER_17_26,VSS,Metal1,19.1880,82.7830,0.000058
FILLER_17_0,VSS,Metal1,6.2400,83.1600,0.000070
FILLER_16_164,VSS,Metal1,84.7200,75.6000,0.000679
FILLER_16_162,VSS,Metal1,84.0000,75.6000,0.000679
FILLER_16_143,VSS,Metal1,74.6400,75.6000,0.000772
FILLER_16_125,VSS,Metal1,66.2400,75.6000,0.000876
FILLER_16_121,VSS,Metal1,64.7880,75.9760,0.000881
FILLER_16_71,VSS,Metal1,40.0800,75.6000,0.000263
FILLER_16_58,VSS,Metal1,33.8400,75.6000,0.000208
FILLER_16_56,VSS,Metal1,33.1200,75.6000,0.000207
FILLER_16_50,VSS,Metal1,30.0000,75.6000,0.000207
FILLER_16_43,VSS,Metal1,28.0860,76.0600,0.000110
FILLER_16_34,VSS,Metal1,22.3200,75.6000,0.000074
FILLER_16_25,VSS,Metal1,18.0000,75.6000,0.000079
FILLER_16_23,VSS,Metal1,17.2800,75.6000,0.000079
FILLER_16_8,VSS,Metal1,10.0800,75.6000,0.000108
FILLER_16_4,VSS,Metal1,8.6280,75.9760,0.000108
FILLER_15_228,VSS,Metal1,115.6800,75.6000,0.003141
FILLER_15_201,VSS,Metal1,102.4800,75.6000,0.000282
FILLER_15_199,VSS,Metal1,101.7600,75.6000,0.000158
FILLER_15_151,VSS,Metal1,78.4800,75.6000,0.000724
FILLER_15_116,VSS,Metal1,61.6800,75.6000,0.000904
FILLER_15_114,VSS,Metal1,60.9600,75.6000,0.000904
FILLER_15_103,VSS,Metal1,55.6800,75.6000,0.000904
FILLER_15_96,VSS,Metal1,53.5260,75.1390,0.000904
FILLER_15_89,VSS,Metal1,50.1660,75.1390,0.000330
FILLER_15_79,VSS,Metal1,44.1600,75.6000,0.000291
FILLER_15_75,VSS,Metal1,42.7080,75.2230,0.000287
FILLER_15_68,VSS,Metal1,40.0860,75.1390,0.000263
FILLER_15_61,VSS,Metal1,36.7260,75.1390,0.000254
FILLER_15_52,VSS,Metal1,30.9600,75.6000,0.000207
FILLER_15_38,VSS,Metal1,24.4800,75.6000,0.000074
FILLER_15_31,VSS,Metal1,21.1200,75.6000,0.000074
FILLER_15_26,VSS,Metal1,18.4800,75.6000,0.000078
FILLER_15_22,VSS,Metal1,17.2680,75.2230,0.000079
FILLER_15_8,VSS,Metal1,9.8400,75.6000,0.000108
FILLER_14_191,VSS,Metal1,98.3880,68.4160,0.000139
FILLER_14_163,VSS,Metal1,84.2400,68.0400,0.000168
FILLER_14_161,VSS,Metal1,83.5200,68.0400,0.000168
FILLER_14_121,VSS,Metal1,64.3200,68.0400,0.000474
FILLER_14_86,VSS,Metal1,47.2800,68.0400,0.000496
FILLER_14_82,VSS,Metal1,46.0680,68.4160,0.000495
FILLER_14_75,VSS,Metal1,43.4460,68.5000,0.000487
FILLER_14_68,VSS,Metal1,40.0860,68.5000,0.000475
FILLER_14_61,VSS,Metal1,36.7260,68.5000,0.000474
FILLER_14_54,VSS,Metal1,33.3660,68.5000,0.000466
FILLER_14_43,VSS,Metal1,28.0860,68.5000,0.000058
FILLER_14_33,VSS,Metal1,22.0800,68.0400,0.000070
FILLER_14_29,VSS,Metal1,20.6280,68.4160,0.000071
FILLER_14_22,VSS,Metal1,18.0060,68.5000,0.000092
FILLER_13_245,VSS,Metal1,123.8400,68.0400,0.000406
FILLER_13_181,VSS,Metal1,93.5880,67.6630,0.000164
FILLER_13_150,VSS,Metal1,78.0000,68.0400,0.000284
FILLER_13_143,VSS,Metal1,76.0860,67.5790,0.000290
FILLER_13_136,VSS,Metal1,72.7260,67.5790,0.000364
FILLER_13_130,VSS,Metal1,68.4000,68.0400,0.000446
FILLER_13_128,VSS,Metal1,67.6800,68.0400,0.000446
FILLER_13_121,VSS,Metal1,65.5260,67.5790,0.000474
FILLER_13_114,VSS,Metal1,62.1660,67.5790,0.000501
FILLER_13_103,VSS,Metal1,55.6800,68.0400,0.000505
FILLER_13_99,VSS,Metal1,54.2280,67.6630,0.000505
FILLER_13_92,VSS,Metal1,51.6060,67.5790,0.000505
FILLER_13_74,VSS,Metal1,41.5200,68.0400,0.000475
FILLER_13_72,VSS,Metal1,40.8000,68.0400,0.000475
FILLER_13_65,VSS,Metal1,38.6460,67.5790,0.000474
FILLER_13_51,VSS,Metal1,30.4800,68.0400,0.000438
FILLER_13_47,VSS,Metal1,29.2680,67.6630,0.000058
FILLER_13_29,VSS,Metal1,20.1600,68.0400,0.000071
FILLER_13_25,VSS,Metal1,18.7080,67.6630,0.000092
FILLER_13_19,VSS,Metal1,15.1200,68.0400,0.000095
