Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_175,VDD,Metal1,91.4490,79.9780,1.199770
FILLER_17_168,VDD,Metal1,88.0890,79.9780,1.199739
FILLER_17_161,VDD,Metal1,83.5200,79.3800,1.199508
FILLER_17_154,VDD,Metal1,81.3690,79.9780,1.199338
FILLER_17_147,VDD,Metal1,78.0090,79.9780,1.198883
FILLER_17_140,VDD,Metal1,74.6490,79.9780,1.198805
FILLER_17_126,VDD,Metal1,66.4800,79.3800,1.198447
FILLER_17_124,VDD,Metal1,65.7600,79.3800,1.198447
FILLER_17_117,VDD,Metal1,63.6090,79.9780,1.198402
FILLER_17_110,VDD,Metal1,60.2490,79.9780,1.198393
FILLER_17_103,VDD,Metal1,56.8890,79.9780,1.198393
FILLER_17_97,VDD,Metal1,52.8000,79.3800,1.198392
FILLER_17_93,VDD,Metal1,51.3710,79.9760,1.198392
FILLER_17_86,VDD,Metal1,48.7290,79.9780,1.198339
FILLER_17_68,VDD,Metal1,38.8800,79.3800,1.198325
FILLER_17_49,VDD,Metal1,29.7600,79.3800,1.199878
FILLER_17_45,VDD,Metal1,28.3310,79.9760,1.199881
FILLER_17_38,VDD,Metal1,25.6890,79.9780,1.199887
FILLER_17_26,VDD,Metal1,19.2110,79.9760,1.199965
FILLER_17_0,VDD,Metal1,6.2400,79.3800,1.199956
FILLER_16_164,VDD,Metal1,84.7200,79.3800,1.199508
FILLER_16_162,VDD,Metal1,84.0000,79.3800,1.199508
FILLER_16_143,VDD,Metal1,74.6400,79.3800,1.198805
FILLER_16_125,VDD,Metal1,66.2400,79.3800,1.198447
FILLER_16_121,VDD,Metal1,64.8110,78.7830,1.198403
FILLER_16_71,VDD,Metal1,40.0800,79.3800,1.198318
FILLER_16_58,VDD,Metal1,33.8400,79.3800,1.198874
FILLER_16_56,VDD,Metal1,33.1200,79.3800,1.198874
FILLER_16_50,VDD,Metal1,30.0000,79.3800,1.199878
FILLER_16_43,VDD,Metal1,28.0890,78.7810,1.199881
FILLER_16_34,VDD,Metal1,22.3200,79.3800,1.199894
FILLER_16_25,VDD,Metal1,18.0000,79.3800,1.199961
FILLER_16_23,VDD,Metal1,17.2800,79.3800,1.199961
FILLER_16_8,VDD,Metal1,10.0800,79.3800,1.199957
FILLER_16_4,VDD,Metal1,8.6510,78.7830,1.199957
FILLER_15_228,VDD,Metal1,115.6800,71.8200,1.199221
