2026-02-08 21:26:31 +0000: Memory Usage (437804K) : topmetal2_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437932K) : topmetal2_text has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437932K) : topmetal2_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438060K) : topmetal2_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438060K) : topmetal2_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438188K) : topmetal2_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438188K) : snsring_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438316K) : sensor_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438316K) : snsarms_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438444K) : snscmosvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438444K) : colwind_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438572K) : flm_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438572K) : hafniumox_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438700K) : memvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438700K) : thinfilmres_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438828K) : rfmem_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438828K) : norcx_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438956K) : norcx_m2m3 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (438956K) : norcx_m2m4 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439084K) : norcx_m2m5 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439212K) : norcx_m2tm1 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439212K) : norcx_m2tm2 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439340K) : norcx_m3m4 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439340K) : norcx_m3m5 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439468K) : norcx_m3tm1 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439468K) : norcx_m3tm2 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439596K) : norcx_m4m5 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m4tm1 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m4tm2 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m5tm1 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m5tm2 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_tm1tm2 has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m1sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m2sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m3sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m4sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_m5sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_tm1sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : norcx_tm2sub has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : snsbotvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : snstopvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : deepvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : fgetch_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : ctrgat_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (439724K) : fgimp_drw has 0 polygons
